song,path_to_wav,artist,artist_genre,genre
i was made for lovin' you,./audio_data/metal_mp3/i was made for lovin' you.mp3,KISS,album rockglam rockhard rockmetalrock,metal
symphony of destruction,./audio_data/metal_mp3/symphony of destruction.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
breaking the law,./audio_data/metal_mp3/breaking the law.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
we're not gonna take it,./audio_data/metal_mp3/we're not gonna take it.mp3,Twisted Sister,album rockglam metalhard rockmetalrock,metal
back in black,./audio_data/metal_mp3/back in black.mp3,AC/DC,australian rockhard rockrock,metal
cum on feel the noize,./audio_data/metal_mp3/cum on feel the noize.mp3,Quiet Riot,album rockclassic rockglam metalhard rockmetalrock,metal
panama - 2015 remaster,./audio_data/metal_mp3/panama - 2015 remaster.mp3,Van Halen,album rockclassic rockhard rockmetalrock,metal
i wanna rock,./audio_data/metal_mp3/i wanna rock.mp3,Twisted Sister,album rockglam metalhard rockmetalrock,metal
highway to hell,./audio_data/metal_mp3/highway to hell.mp3,AC/DC,australian rockhard rockrock,metal
hot for teacher - 2015 remaster,./audio_data/metal_mp3/hot for teacher - 2015 remaster.mp3,Van Halen,album rockclassic rockhard rockmetalrock,metal
i love it loud,./audio_data/metal_mp3/i love it loud.mp3,KISS,album rockglam rockhard rockmetalrock,metal
you shook me all night long,./audio_data/metal_mp3/you shook me all night long.mp3,AC/DC,australian rockhard rockrock,metal
jump - 2015 remaster,./audio_data/metal_mp3/jump - 2015 remaster.mp3,Van Halen,album rockclassic rockhard rockmetalrock,metal
t.n.t.,./audio_data/metal_mp3/t.n.t..mp3,AC/DC,australian rockhard rockrock,metal
eruption - 2015 remaster,./audio_data/metal_mp3/eruption - 2015 remaster.mp3,Van Halen,album rockclassic rockhard rockmetalrock,metal
thunderstruck,./audio_data/metal_mp3/thunderstruck.mp3,AC/DC,australian rockhard rockrock,metal
you've got another thing coming,./audio_data/metal_mp3/you've got another thing coming.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
heavy metal,./audio_data/metal_mp3/heavy metal.mp3,Sammy Hagar,album rockclassic rockcountry rockglam metalhard rockheartland rockmellow goldmetalrocksoft rock,metal
tornado of souls - remastered 2004,./audio_data/metal_mp3/tornado of souls - remastered 2004.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
runnin' with the devil - 2015 remaster,./audio_data/metal_mp3/runnin' with the devil - 2015 remaster.mp3,Van Halen,album rockclassic rockhard rockmetalrock,metal
the kids are back,./audio_data/metal_mp3/the kids are back.mp3,Twisted Sister,album rockglam metalhard rockmetalrock,metal
mother,./audio_data/metal_mp3/mother.mp3,Danzig,alternative metalhard rockmetalnu metalrock,metal
children of the earth,./audio_data/metal_mp3/children of the earth.mp3,Praying Mantis,nwobhm,metal
angel witch,./audio_data/metal_mp3/angel witch.mp3,Angel Witch,doom metalmetalnwobhmnwothm,metal
race with the devil,./audio_data/metal_mp3/race with the devil.mp3,Girlschool,hard rockmetalnwobhm,metal
burn in hell,./audio_data/metal_mp3/burn in hell.mp3,Twisted Sister,album rockglam metalhard rockmetalrock,metal
cowboys from hell,./audio_data/metal_mp3/cowboys from hell.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
metal health (bang your head),./audio_data/metal_mp3/metal health (bang your head).mp3,Quiet Riot,album rockclassic rockglam metalhard rockmetalrock,metal
tomorrow's dream - 2021 remaster,./audio_data/metal_mp3/tomorrow's dream - 2021 remaster.mp3,Black Sabbath,album rockbirmingham metalclassic rockhard rockmetalrockstoner rockuk doom metal,metal
shot in the dark,./audio_data/metal_mp3/shot in the dark.mp3,Ozzy Osbourne,album rockbirmingham metalhard rockmetalrock,metal
living after midnight,./audio_data/metal_mp3/living after midnight.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
wasted,./audio_data/metal_mp3/wasted.mp3,Def Leppard,album rockglam metalhard rocknwobhmrock,metal
stargazer,./audio_data/metal_mp3/stargazer.mp3,Rainbow,album rockblues rockclassic rockglam metalhard rockmetalrock,metal
poison,./audio_data/metal_mp3/poison.mp3,Alice Cooper,album rockclassic rockdetroit rockglam metalglam rockhard rockmetalprotopunkrock,metal
no more tears,./audio_data/metal_mp3/no more tears.mp3,Ozzy Osbourne,album rockbirmingham metalhard rockmetalrock,metal
indians,./audio_data/metal_mp3/indians.mp3,Anthrax,album rockalternative metalhard rockmetalnu metalold school thrashrap metalrockspeed metalthrash metal,metal
lay it down,./audio_data/metal_mp3/lay it down.mp3,Ratt,album rockglam metalhard rockmetalrock,metal
the toxic waltz,./audio_data/metal_mp3/the toxic waltz.mp3,Exodus,death metalgroove metalhard rockmetalold school thrashspeed metalthrash metal,metal
seventeen,./audio_data/metal_mp3/seventeen.mp3,Winger,album rockglam metalhard rockrocksleaze rock,metal
caught in a mosh,./audio_data/metal_mp3/caught in a mosh.mp3,Anthrax,album rockalternative metalhard rockmetalnu metalold school thrashrap metalrockspeed metalthrash metal,metal
mexican radio,./audio_data/metal_mp3/mexican radio.mp3,Celtic Frost,black metalblack thrashdeath metaldeathrashdoom metalmetalold school thrashswiss black metalswiss metal,metal
swords and tequila,./audio_data/metal_mp3/swords and tequila.mp3,Riot,speed metalus power metal,metal
south of heaven,./audio_data/metal_mp3/south of heaven.mp3,Slayer,alternative metaldeath metalhard rockmetalnu metalold school thrashrockspeed metalthrash metal,metal
breaking the chains,./audio_data/metal_mp3/breaking the chains.mp3,Dokken,album rockglam metalhard rockmetalrock,metal
bringin' on the heartbreak,./audio_data/metal_mp3/bringin' on the heartbreak.mp3,Def Leppard,album rockglam metalhard rocknwobhmrock,metal
in my darkest hour - remastered,./audio_data/metal_mp3/in my darkest hour - remastered.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
modern day cowboy,./audio_data/metal_mp3/modern day cowboy.mp3,Tesla,album rockclassic rockglam metalhard rockrocksacramento indie,metal
i surrender,./audio_data/metal_mp3/i surrender.mp3,Rainbow,album rockblues rockclassic rockglam metalhard rockmetalrock,metal
wheels of steel - 2009 remastered version,./audio_data/metal_mp3/wheels of steel - 2009 remastered version.mp3,Saxon,album rockglam metalhard rockmetalnwobhmpower metalrock,metal
walk,./audio_data/metal_mp3/walk.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
duality,./audio_data/metal_mp3/duality.mp3,Slipknot,alternative metalnu metalrap metal,metal
hail to the king,./audio_data/metal_mp3/hail to the king.mp3,Avenged Sevenfold,alternative metalnu metal,metal
cowboys from hell,./audio_data/metal_mp3/cowboys from hell.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
south of heaven,./audio_data/metal_mp3/south of heaven.mp3,Slayer,alternative metaldeath metalhard rockmetalnu metalold school thrashrockspeed metalthrash metal,metal
painkiller,./audio_data/metal_mp3/painkiller.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
my curse,./audio_data/metal_mp3/my curse.mp3,Killswitch Engage,alternative metalboston metalmelodic metalcoremetalcorenu metal,metal
davidian,./audio_data/metal_mp3/davidian.mp3,Machine Head,alternative metalgroove metalhard rockindustrial metalmelodic groove metalmelodic metalcoremetalnu metalprogressive groove metalrap rockrock,metal
freak on a leash,./audio_data/metal_mp3/freak on a leash.mp3,Korn,alternative metalfunk metalnu metalrap metalrock,metal
dragula,./audio_data/metal_mp3/dragula.mp3,Rob Zombie,alternative metalindustrial metalindustrial rocknu metalrap rockrock,metal
ace of spades,./audio_data/metal_mp3/ace of spades.mp3,Motörhead,album rockalternative metalhard rockmetalrockspeed metal,metal
symphony of destruction,./audio_data/metal_mp3/symphony of destruction.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
down with the sickness,./audio_data/metal_mp3/down with the sickness.mp3,Disturbed,alternative metalnu metalrap metal,metal
hellraiser - 30th anniversary edition,./audio_data/metal_mp3/hellraiser - 30th anniversary edition.mp3,Ozzy Osbourne,album rockbirmingham metalhard rockmetalrock,metal
wait and bleed,./audio_data/metal_mp3/wait and bleed.mp3,Slipknot,alternative metalnu metalrap metal,metal
stinkfist,./audio_data/metal_mp3/stinkfist.mp3,TOOL,alternative metalalternative rockart rocknu metalprogressive metalprogressive rockrock,metal
your betrayal,./audio_data/metal_mp3/your betrayal.mp3,Bullet For My Valentine,alternative metalmelodic metalcoremetalcorenu metalrap rockuk metalcorewelsh metal,metal
die mf die,./audio_data/metal_mp3/die mf die.mp3,Dope,alternative metalindustrial metalindustrial rocknu metalrap rock,metal
sugar,./audio_data/metal_mp3/sugar.mp3,System Of A Down,alternative metalnu metalrap metalrock,metal
shadow moses,./audio_data/metal_mp3/shadow moses.mp3,Bring Me The Horizon,melodic metalcoremetalcorerockuk metalcore,metal
my own summer (shove it),./audio_data/metal_mp3/my own summer (shove it).mp3,Deftones,alternative metalnu metalrap metalrocksacramento indie,metal
blood and thunder,./audio_data/metal_mp3/blood and thunder.mp3,Mastodon,alternative metalatlanta metalhard rockmetalnu metalprogressive groove metalprogressive sludgerocksludge metalstoner metal,metal
roots bloody roots,./audio_data/metal_mp3/roots bloody roots.mp3,Sepultura,alternative metalbrazilian groove metalbrazilian metalbrazilian thrash metaldeath metaldeathrashgroove metalhard rocklatin metalmetalmetal mineironu metalold school thrashrockthrash metal,metal
you can't bring me down,./audio_data/metal_mp3/you can't bring me down.mp3,Suicidal Tendencies,alternative metalcalifornia hardcorecrossover thrashfunk metalhardcore punkmetalnu metalold school thrashpunkrap rockthrash metal,metal
are you dead yet?,./audio_data/metal_mp3/are you dead yet.mp3,Children Of Bodom,alternative metalfinnish death metalfinnish melodeathfinnish metalmelodic death metalmetalpower metal,metal
madhouse,./audio_data/metal_mp3/madhouse.mp3,Anthrax,album rockalternative metalhard rockmetalnu metalold school thrashrap metalrockspeed metalthrash metal,metal
"snap your fingers, snap your neck","./audio_data/metal_mp3/snap your fingers, snap your neck.mp3",Prong,alternative metalgroove metalhard rockindustrial metalmetalnu metalold school thrashrap rockthrash metal,metal
replica,./audio_data/metal_mp3/replica.mp3,Fear Factory,alternative metalgroove metalindustrial metalindustrial rockmetalnu metalrap metalrap rock,metal
war eternal,./audio_data/metal_mp3/war eternal.mp3,Arch Enemy,alternative metaldeath metalmelodic death metalmetalnu metalpower metalswedish death metalswedish melodeathswedish metal,metal
dying in your arms,./audio_data/metal_mp3/dying in your arms.mp3,Trivium,alternative metalmelodic metalcoremelodic thrashmetalmetalcorenu metal,metal
i wanna rock,./audio_data/metal_mp3/i wanna rock.mp3,Twisted Sister,album rockglam metalhard rockmetalrock,metal
stone the crow,./audio_data/metal_mp3/stone the crow.mp3,DOWN,alternative metalgroove metalhard rocklouisiana metalmetalnu metalrocksludge metalsouthern metalstoner metalsupergroup,metal
twilight of the thunder god,./audio_data/metal_mp3/twilight of the thunder god.mp3,Amon Amarth,alternative metaldeath metalmelodic death metalmetalpower metalswedish death metalswedish melodeathswedish metaltolkien metalviking metal,metal
carrion,./audio_data/metal_mp3/carrion.mp3,Parkway Drive,australian metalcoremelodic metalcoremetalcorenu metal,metal
l'enfant sauvage,./audio_data/metal_mp3/l'enfant sauvage.mp3,Gojira,alternative metalfrench death metalfrench metalmetalnu metalprogressive groove metalrock,metal
my girlfriend's girlfriend,./audio_data/metal_mp3/my girlfriend's girlfriend.mp3,Type O Negative,alternative metalgothic metalindustrial metalindustrial rockmetalnu metalrock,metal
heaven's a lie,./audio_data/metal_mp3/heaven's a lie.mp3,Lacuna Coil,alternative metalgothic metalgothic symphonic metalitalian gothicitalian gothic metalitalian metalslayersymphonic metal,metal
