song,path_to_wav,artist,artist_genre,genre
As It Was,./audio_data/mp3_data/As It Was.mp3,Harry Styles,pop,pop
First Class,./audio_data/mp3_data/First Class.mp3,Jack Harlow,deep underground hip hopkentucky hip hoprap,pop
Bam Bam (feat. Ed Sheeran),./audio_data/mp3_data/Bam Bam (feat. Ed Sheeran).mp3,Camila Cabello,dance poppoppost-teen pop,pop
Ghost,./audio_data/mp3_data/Ghost.mp3,Justin Bieber,canadian poppop,pop
Heat Waves,./audio_data/mp3_data/Heat Waves.mp3,Glass Animals,gauze popindietronicashiver pop,pop
THATS WHAT I WANT,./audio_data/mp3_data/THATS WHAT I WANT.mp3,Lil Nas X,lgbtq+ hip hoppop,pop
Thousand Miles,./audio_data/mp3_data/Thousand Miles.mp3,The Kid LAROI,australian hip hop,pop
Woman,./audio_data/mp3_data/Woman.mp3,Doja Cat,dance poppop,pop
MIDDLE OF THE NIGHT,./audio_data/mp3_data/MIDDLE OF THE NIGHT.mp3,Elley Duhé,alt zpop,pop
Boyfriend,./audio_data/mp3_data/Boyfriend.mp3,Dove Cameron,poppost-teen pop,pop
Where Are You Now,./audio_data/mp3_data/Where Are You Now.mp3,Lost Frequencies,belgian edmedmpoppop dancetropical house,pop
Enemy (with JID) - from the series Arcane League of Legends,./audio_data/mp3_data/Enemy (with JID) - from the series Arcane League of Legends.mp3,Imagine Dragons,modern rockrock,pop
STAY (with Justin Bieber),./audio_data/mp3_data/STAY (with Justin Bieber).mp3,The Kid LAROI,australian hip hop,pop
When You're Gone,./audio_data/mp3_data/When You're Gone.mp3,Shawn Mendes,canadian popdance poppopviral pop,pop
Cold Heart - PNAU Remix,./audio_data/mp3_data/Cold Heart - PNAU Remix.mp3,Elton John,glam rockmellow goldpiano rock,pop
Light Switch,./audio_data/mp3_data/Light Switch.mp3,Charlie Puth,dance poppopviral pop,pop
INDUSTRY BABY (feat. Jack Harlow),./audio_data/mp3_data/INDUSTRY BABY (feat. Jack Harlow).mp3,Lil Nas X,lgbtq+ hip hoppop,pop
Envolver,./audio_data/mp3_data/Envolver.mp3,Anitta,funk cariocafunk poppagode baianopop nacional,pop
The Motto,./audio_data/mp3_data/The Motto.mp3,Tiësto,big roombrostepdance popdutch edmedmhousepoppop danceslap housetrancetropical house,pop
In My Head,./audio_data/mp3_data/In My Head.mp3,Lil Tjay,brooklyn drillmelodic rapnyc rap,pop
she's all i wanna be,./audio_data/mp3_data/she's all i wanna be.mp3,Tate McRae,pop,pop
abcdefu,./audio_data/mp3_data/abcdefu.mp3,GAYLE,modern alternative pop,pop
MAMIII,./audio_data/mp3_data/MAMIII.mp3,Becky G,dance poplatinlatin poplatin viral poppoprap latinareggaeton,pop
love nwantiti (ah ah ah),./audio_data/mp3_data/love nwantiti (ah ah ah).mp3,CKay,afro r&b,pop
Sweetest Pie,./audio_data/mp3_data/Sweetest Pie.mp3,Megan Thee Stallion,dance pophouston rappoptrap queen,pop
Easy On Me,./audio_data/mp3_data/Easy On Me.mp3,Adele,british soulpoppop souluk pop,pop
Infinity,./audio_data/mp3_data/Infinity.mp3,Jaymes Young,modern rockpop,pop
Bones,./audio_data/mp3_data/Bones.mp3,Imagine Dragons,modern rockrock,pop
Need to Know,./audio_data/mp3_data/Need to Know.mp3,Doja Cat,dance poppop,pop
Happier Than Ever - Edit,./audio_data/mp3_data/Happier Than Ever - Edit.mp3,Billie Eilish,art popelectropoppop,pop
One Right Now (with The Weeknd),./audio_data/mp3_data/One Right Now (with The Weeknd).mp3,Post Malone,dfw rapmelodic raprap,pop
X ÚLTIMA VEZ,./audio_data/mp3_data/X ÚLTIMA VEZ.mp3,Daddy Yankee,latinlatin hip hopreggaetontrap latino,pop
psychofreak (feat. WILLOW),./audio_data/mp3_data/psychofreak (feat. WILLOW).mp3,Camila Cabello,dance poppoppost-teen pop,pop
My Universe,./audio_data/mp3_data/My Universe.mp3,Coldplay,permanent wavepop,pop
good 4 u,./audio_data/mp3_data/good 4 u.mp3,Olivia Rodrigo,pop,pop
Flowers,./audio_data/mp3_data/Flowers.mp3,Lauren Spencer-Smith,alt zgen z singer-songwriterpop,pop
Oh My God,./audio_data/mp3_data/Oh My God.mp3,Adele,british soulpoppop souluk pop,pop
Pepas,./audio_data/mp3_data/Pepas.mp3,Farruko,latinlatin hip hopreggaetontrap latino,pop
Nail Tech,./audio_data/mp3_data/Nail Tech.mp3,Jack Harlow,deep underground hip hopkentucky hip hoprap,pop
Better Days (NEIKED x Mae Muller x Polo G),./audio_data/mp3_data/Better Days (NEIKED x Mae Muller x Polo G).mp3,NEIKED,scandipop,pop
Numb Little Bug,./audio_data/mp3_data/Numb Little Bug.mp3,Em Beihold,alt zgen z singer-songwriter,pop
Go,./audio_data/mp3_data/Go.mp3,Cat Burns,,pop
Desesperados,./audio_data/mp3_data/Desesperados.mp3,Rauw Alejandro,puerto rican poptrap latino,pop
TO THE MOON,./audio_data/mp3_data/TO THE MOON.mp3,Jnr Choi,,pop
IDGAF (with blackbear),./audio_data/mp3_data/IDGAF (with blackbear).mp3,BoyWithUke,,pop
MONEY,./audio_data/mp3_data/MONEY.mp3,LISA,k-pop,pop
Starlight,./audio_data/mp3_data/Starlight.mp3,Dave,uk hip hop,pop
