song,path_to_wav,artist,artist_genre,genre
FUNERAL GREY,./audio_data/mp3_data/FUNERAL GREY.mp3,Waterparks,alt zmodern rockneon pop punkpixiepop punkrocksocial media poptexas pop punk,punk
Troglodyte,./audio_data/mp3_data/Troglodyte.mp3,Viagra Boys,egg punkstockholm indie,punk
Out of My Head feat. Aaron Gillespie,./audio_data/mp3_data/Out of My Head feat. Aaron Gillespie.mp3,Charlotte Sands,alt zpop punk,punk
Toxic Love,./audio_data/mp3_data/Toxic Love.mp3,Story Untold,anthem emocanadian pop punkpixiepop punk,punk
Outcasts vs Everyone,./audio_data/mp3_data/Outcasts vs Everyone.mp3,Destroy Rebuild Until God Shows,metalcorepixiepost-screamoprogressive post-hardcorescreamotrancecore,punk
Step Mum,./audio_data/mp3_data/Step Mum.mp3,Lauran Hibberd,english indie rockisle of wight indie,punk
CHASING DAYLIGHT,./audio_data/mp3_data/CHASING DAYLIGHT.mp3,NOAHFINNCE,,punk
Welcome To Hell,./audio_data/mp3_data/Welcome To Hell.mp3,black midi,art popnoise rockuk noise rockuk post-punk revival,punk
SORRY 4 MYSELF,./audio_data/mp3_data/SORRY 4 MYSELF.mp3,KD BADLUNG,,punk
Lonely,./audio_data/mp3_data/Lonely.mp3,Pulley,melodic hardcorepunkskate punk,punk
Speed Dial,./audio_data/mp3_data/Speed Dial.mp3,HUNNY,indie popmodern alternative rockmodern rock,punk
Talk to Me,./audio_data/mp3_data/Talk to Me.mp3,Scarlett O'Hara,metalcorepost-post-hardcorepost-screamoscreamotrancecore,punk
Wouldn't That Be Nice,./audio_data/mp3_data/Wouldn't That Be Nice.mp3,Hoodie Allen,indie pop rappop rap,punk
GOOFY!,./audio_data/mp3_data/GOOFY!.mp3,Hadji Gaviota,indie r&b,punk
Hannah Montana,./audio_data/mp3_data/Hannah Montana.mp3,Nico Collins,alt zsocial media pop,punk
Strangest Faces,./audio_data/mp3_data/Strangest Faces.mp3,Bayside,alternative emoemopop punkpost-hardcorescreamo,punk
Fresh Pope,./audio_data/mp3_data/Fresh Pope.mp3,Pkew Pkew Pkew,canadian punkindie punkorgcore,punk
Blood Money,./audio_data/mp3_data/Blood Money.mp3,The Lounge Society,chamber psychuk post-punk revival,punk
Strange Days,./audio_data/mp3_data/Strange Days.mp3,THE BOBBY LEES,,punk
Payday,./audio_data/mp3_data/Payday.mp3,stayMellow,,punk
Iconic,./audio_data/mp3_data/Iconic.mp3,Simple Plan,canadian pop punkcanadian punkcanadian rockpop punk,punk
Live Like This,./audio_data/mp3_data/Live Like This.mp3,Silverstein,canadian post-hardcorecanadian rockmetalcorepop punkpost-hardcorerockscreamo,punk
dumb (feat. Tom The Mail Man),./audio_data/mp3_data/dumb (feat. Tom The Mail Man).mp3,Stand Atlantic,modern rockpixiepop punkrock,punk
ALL ALONE,./audio_data/mp3_data/ALL ALONE.mp3,Ryan Oakes,pop rapsad rap,punk
this might be our last december,./audio_data/mp3_data/this might be our last december.mp3,poptropicaslutz!,glitchcorehyperpop,punk
I'm Sorry I'm Leaving,./audio_data/mp3_data/I'm Sorry I'm Leaving.mp3,Senses Fail,emometalcorepop punkpost-hardcorescreamo,punk
Don't Try,./audio_data/mp3_data/Don't Try.mp3,Joyce Manor,alternative emodreamoemoindie garage rockindie punkindie rocklo-fi emopop punk,punk
Problem,./audio_data/mp3_data/Problem.mp3,The Dreadnoughts,celtic rockpirateshantyvancouver punk,punk
What Was Your Name in the States?,./audio_data/mp3_data/What Was Your Name in the States.mp3,The Rumjacks,celtic punk,punk
I don't want to die alone,./audio_data/mp3_data/I don't want to die alone.mp3,Otoboke Beaver,j-punkjapanese girl punkjapanese pop punkjapanese punk rock,punk
Everything's Fine,./audio_data/mp3_data/Everything's Fine.mp3,MNYS,,punk
June Carter Cash (Lost and Found),./audio_data/mp3_data/June Carter Cash (Lost and Found).mp3,Bowling For Soup,comicpop punkrocktexas pop punk,punk
how could you do this to me? feat. Kellin Quinn from Sleeping With Sirens,./audio_data/mp3_data/how could you do this to me feat. Kellin Quinn from Sleeping With Sirens.mp3,Maggie Lindemann,alt zdance popdark poppoppost-teen pop,punk
Locker Room,./audio_data/mp3_data/Locker Room.mp3,Pabst,german indie rock,punk
Oldest Daughter,./audio_data/mp3_data/Oldest Daughter.mp3,The Wonder Years,alternative emoanthem emoemophilly indiepop punk,punk
North Shore,./audio_data/mp3_data/North Shore.mp3,Tiny Moving Parts,alternative emoanthem emodreamoemomidwest emo,punk
Underdogs,./audio_data/mp3_data/Underdogs.mp3,Cherryade,melodipop,punk
Reverse the Curse,./audio_data/mp3_data/Reverse the Curse.mp3,Alexisonfire,canadian post-hardcorecanadian rockmelodic metalcoremetalcorepost-hardcorescreamo,punk
Spit It Out,./audio_data/mp3_data/Spit It Out.mp3,Bad Waitress,canadian psychedelic rock,punk
Tired of It,./audio_data/mp3_data/Tired of It.mp3,Ready Steady Steroids,canadian pop punk,punk
Ain’t No Thief,./audio_data/mp3_data/Ain’t No Thief.mp3,Viagra Boys,egg punkstockholm indie,punk
Deceiver,./audio_data/mp3_data/Deceiver.mp3,Ghum,uk post-punk revival,punk
YCB,./audio_data/mp3_data/YCB.mp3,Craig's Brother,christian punkfast melodic punkskate punk,punk
Golden Life,./audio_data/mp3_data/Golden Life.mp3,Pulley,melodic hardcorepunkskate punk,punk
fleahouse,./audio_data/mp3_data/fleahouse.mp3,Static Dress,dreamo,punk
Hard to Believe,./audio_data/mp3_data/Hard to Believe.mp3,Phantom Bay,,punk
The Sickest Things,./audio_data/mp3_data/The Sickest Things.mp3,Heart Shaped Lakes,,punk
The Worm,./audio_data/mp3_data/The Worm.mp3,Jaguero,,punk
switchblade,./audio_data/mp3_data/switchblade.mp3,Stand Atlantic,modern rockpixiepop punkrock,punk
Shooting Star (feat. Sum 41),./audio_data/mp3_data/Shooting Star (feat. Sum 41).mp3,SK8,teen pop,punk
Wake Me Up (When This Nightmare's Over),./audio_data/mp3_data/Wake Me Up (When This Nightmare's Over).mp3,Simple Plan,canadian pop punkcanadian punkcanadian rockpop punk,punk
In The Mirror,./audio_data/mp3_data/In The Mirror.mp3,The Interrupters,punkskaska punkskate punk,punk
R.I.P,./audio_data/mp3_data/R.I.P.mp3,Ryan Oakes,pop rapsad rap,punk
TELL ME THAT YOU’RE OKAY,./audio_data/mp3_data/TELL ME THAT YOU’RE OKAY.mp3,NOAHFINNCE,,punk
junkie,./audio_data/mp3_data/junkie.mp3,LØLØ,alt zcanadian poppop punksocial media pop,punk
Burning Out,./audio_data/mp3_data/Burning Out.mp3,Chief State,anthem emocanadian pop punkeasycorepop punkvancouver punk,punk
Audrey,./audio_data/mp3_data/Audrey.mp3,carolesdaughter,alt zindie pop,punk
High Again,./audio_data/mp3_data/High Again.mp3,girlfriends,pop punk,punk
Weapon,./audio_data/mp3_data/Weapon.mp3,Stick To Your Guns,melodic hardcoremelodic metalcoremetalcore,punk
Keep up That Talk,./audio_data/mp3_data/Keep up That Talk.mp3,Prince Daddy & the Hyena,albany ny indiealternative emobubblegrungediy emoemoindie garage rockindie punkmidwest emo,punk
Blessed Be Thy,./audio_data/mp3_data/Blessed Be Thy.mp3,Witch Fever,manchester indie,punk
Drinking in the Park,./audio_data/mp3_data/Drinking in the Park.mp3,Pkew Pkew Pkew,canadian punkindie punkorgcore,punk
Bite Down,./audio_data/mp3_data/Bite Down.mp3,Rotten Oranges,,punk
Die Alone,./audio_data/mp3_data/Die Alone.mp3,Silverstein,canadian post-hardcorecanadian rockmetalcorepop punkpost-hardcorerockscreamo,punk
Why,./audio_data/mp3_data/Why.mp3,The Linda Lindas,riot grrrl,punk
Friendzone,./audio_data/mp3_data/Friendzone.mp3,Bronnie,uk pop punk,punk
Bad Influence,./audio_data/mp3_data/Bad Influence.mp3,Hot Milk,pop punkuk pop punk,punk
TOXIC (with POORSTACY),./audio_data/mp3_data/TOXIC (with POORSTACY).mp3,PLVTINUM,alt zpop,punk
NOWT,./audio_data/mp3_data/NOWT.mp3,BOTTLEKIDS,,punk
The Right Shade Of Red,./audio_data/mp3_data/The Right Shade Of Red.mp3,Second Harbour,canadian pop punk,punk
