track_name,artist_name,preview,artist_genre
ミスター,YOASOBI,./data/ミスター,"['j-pop', 'japanese teen pop']"
3月の帰り道,HIRAIDAI,./data/3月の帰り道,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']"
キャラクター,Ryokuoushoku Shakai,./data/キャラクター,['j-pop']
残響散歌,Aimer,./data/残響散歌,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']"
One,STUTS,./data/One,['j-rap']
Starstruck - SIRUP Remix,Years & Years,./data/Starstruck - SIRUP Remix,"['dance pop', 'edm', 'electropop', 'gauze pop', 'pop', 'pop dance', 'tropical house']"
心という名の不可解,Ado,./data/心という名の不可解,"['j-pop', 'japanese teen pop']"
踊り子,Vaundy,./data/踊り子,"['j-pop', 'japanese soul']"
なんでもないよ、,Macaroni Empitsu,./data/なんでもないよ、,"['anime', 'j-pop', 'japanese alternative rock', 'japanese teen pop']"
シンデレラボーイ,Saucy Dog,./data/シンデレラボーイ,"['j-indie', 'j-pop', 'japanese alternative rock']"
単焦点,Penthouse,./data/単焦点,[]
袖のキルト,ZUTOMAYO,./data/袖のキルト,['j-pop']
どれにしようかな,Awich,./data/どれにしようかな,['j-rap']
W / X / Y,Tani Yuuki,./data/W / X / Y,"['j-pop', 'japanese teen pop']"
BADモード,Hikaru Utada,./data/BADモード,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']"
Scratch,TK from Ling tosite sigure,./data/Scratch,"['j-poprock', 'j-rock', 'otacore']"
逆夢,King Gnu,./data/逆夢,['j-pop']
The Rumbling,SiM,./data/The Rumbling,"['j-rock', 'japanese metalcore']"
ミズキリ,Yuuri,./data/ミズキリ,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']"
Face To Face,Tomohisa Yamashita,./data/Face To Face,[]
STAR TRAIN,Perfume,./data/STAR TRAIN,"['bitpop', 'j-idol', 'j-pop', 'j-pop girl group', 'japanese electropop', 'shibuya-kei']"
D(evil) feat. yama,haruno,./data/D(evil) feat. yama,"['japanese r&b', 'japanese soul']"
おもかげ (produced by Vaundy),milet,./data/おもかげ (produced by Vaundy),['j-pop']
スパークル,Lilas Ikuta,./data/スパークル,"['j-pop', 'japanese teen pop']"
Anarchy,Official HIGE DANdism,./data/Anarchy,"['anime', 'anime rock', 'j-pop']"
Rock The World,[Alexandros],./data/Rock The World,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock']"
悪魔の子,Higuchi Ai,./data/悪魔の子,['japanese alternative pop']
Victim of Love - feat. Taka,ayaka,./data/Victim of Love - feat. Taka,"['j-pop', 'j-rock', 'japanese singer-songwriter']"
裸の勇者,Vaundy,./data/裸の勇者,"['j-pop', 'japanese soul']"
やさしい怪物 feat. 泣き虫,黒子首,./data/やさしい怪物 feat. 泣き虫,[]
常緑,Chippoke Ohashi,./data/常緑,['japanese alternative pop']
藍才,Eve,./data/藍才,"['anime', 'anime rock']"
Midnight Pretenders (feat. ひかり),Tokimeki Records,./data/Midnight Pretenders (feat. ひかり),"['city pop', 'japanese r&b']"
