track_name,artist_name,preview,artist_genre
Ghost,Justin Bieber,./data/Ghost,canadian pop pop
Shivers,Ed Sheeran,./data/Shivers,pop uk pop
Heat Waves,Glass Animals,./data/Heat Waves,gauze pop indietronica shiver pop
THATS WHAT I WANT,Lil Nas X,./data/THATS WHAT I WANT,lgbtq+ hip hop pop
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,./data/Enemy (with JID) - from the series Arcane League of Legends,modern rock rock
abcdefu,GAYLE,./data/abcdefu,modern alternative pop
STAY (with Justin Bieber),The Kid LAROI,./data/STAY (with Justin Bieber),australian hip hop
Infinity,Jaymes Young,./data/Infinity,modern rock pop
MAMIII,Becky G,./data/MAMIII,dance pop latin latin pop latin viral pop pop rap latina reggaeton trap latino
Cold Heart - PNAU Remix,Elton John,./data/Cold Heart - PNAU Remix,glam rock mellow gold piano rock
Easy On Me,Adele,./data/Easy On Me,british soul pop pop soul uk pop
Light Switch,Charlie Puth,./data/Light Switch,dance pop pop viral pop
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,./data/INDUSTRY BABY (feat. Jack Harlow),lgbtq+ hip hop pop
Woman,Doja Cat,./data/Woman,dance pop pop
Boyfriend,Dove Cameron,./data/Boyfriend,pop post-teen pop
love nwantiti (ah ah ah),CKay,./data/love nwantiti (ah ah ah),afro r&b
Where Are You Now,Lost Frequencies,./data/Where Are You Now,belgian edm edm pop pop dance tropical house
she's all i wanna be,Tate McRae,./data/she's all i wanna be,alt z dance pop pop post-teen pop
Bad Habits,Ed Sheeran,./data/Bad Habits,pop uk pop
Oh My God,Adele,./data/Oh My God,british soul pop pop soul uk pop
My Universe,Coldplay,./data/My Universe,permanent wave pop
Desesperados,Rauw Alejandro,./data/Desesperados,puerto rican pop trap latino
pushin P (feat. Young Thug),Gunna,./data/pushin P (feat. Young Thug),atl hip hop melodic rap rap trap
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,./data/The Joker And The Queen (feat. Taylor Swift),pop uk pop
Fingers Crossed,Lauren Spencer-Smith,./data/Fingers Crossed,alt z gen z singer-songwriter pop
Need to Know,Doja Cat,./data/Need to Know,dance pop pop
One Right Now (with The Weeknd),Post Malone,./data/One Right Now (with The Weeknd),dfw rap melodic rap rap
Pepas,Farruko,./data/Pepas,latin reggaeton trap latino
The Motto,Tiësto,./data/The Motto,big room brostep dance pop dutch edm edm house pop pop dance slap house trance tropical house
MIDDLE OF THE NIGHT,Elley Duhé,./data/MIDDLE OF THE NIGHT,alt z pop
